,player_id,player_display_name,rolling_def,last_twelve_carries,last_twelve_rushing_yards,last_twelve_rushing_tds,last_twelve_rushing_fumbles_lost,last_twelve_rushing_first_downs,last_twelve_receptions,last_twelve_targets,last_twelve_receiving_yards,last_twelve_receiving_tds,last_twelve_receiving_fumbles_lost,last_twelve_receiving_yards_after_catch,last_twelve_receiving_first_downs,last_twelve_target_share,last_twelve_fantasy_points_ppr,last_twelve_usage,predicted,season,week
0,00-0030061,Zach Ertz,6.472222109635671,0.0,0.0,0.0,0.0,0.0,3.8333333333333335,5.916666666666667,30.33333333333333,0.25,0.0,7.583333333333333,1.5,0.1781203288895388,8.533333361148834,5.916666666666667,9.078074853888168,2024,1
1,00-0030506,Travis Kelce,8.346527755260468,0.0,0.0,0.0,0.0,0.0,6.333333333333333,7.916666666666667,69.08333333333333,0.25,0.0833333333333333,33.083333333333336,3.4166666666666665,0.2175088288883368,14.575000206629436,7.916666666666667,13.319394220917452,2024,1
2,00-0031610,Darren Waller,7.777777791023254,0.0,0.0,0.0,0.0,0.0,4.166666666666667,6.083333333333333,48.25,0.1666666666666666,0.0,17.666666666666668,2.1666666666666665,0.2033894372483094,9.991666744152704,6.083333333333333,10.074931582690311,2024,1
3,00-0032134,C.J. Uzomah,6.486111183961232,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,2.083333333333333,15.916666666666666,0.25,0.0,5.75,0.9166666666666666,0.0533779726053277,4.425000031789144,2.083333333333333,4.666418094200018,2024,1
4,00-0032392,Austin Hooper,5.601388732592265,0.0,0.0,0.0,0.0,0.0,1.4166666666666667,1.75,12.0,0.0,0.0,8.666666666666666,0.5833333333333334,0.0608877739869058,2.616666694482168,1.75,4.6443864447480765,2024,1
5,00-0033090,Hunter Henry,5.338888828953107,0.0,0.0,0.0,0.0,0.0,3.083333333333333,4.583333333333333,30.25,0.4166666666666667,0.0,5.916666666666667,2.0,0.1497429391990105,8.608333428700766,4.583333333333333,8.012442121244746,2024,1
6,00-0033110,Tyler Higbee,5.81805553038915,0.0,0.0,0.0,0.0,0.0,3.0,4.583333333333333,30.25,0.1666666666666666,0.0,17.166666666666668,1.5833333333333333,0.14319249180456,7.024999916553497,4.583333333333333,7.85055729553278,2024,1
7,00-0033217,Mo Alie-Cox,5.401388963063558,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,1.5,11.916666666666666,0.25,0.0,6.083333333333333,0.6666666666666666,0.0537016211698452,3.6083333417773247,1.5,4.629681219112218,2024,1
8,00-0033288,George Kittle,7.352777739365895,0.0833333333333333,0.1666666666666666,0.0,0.0,0.0833333333333333,4.25,5.916666666666667,72.66666666666667,0.5,0.0,33.5,2.9166666666666665,0.2067205303659041,14.533333470424015,6.0,11.415790516129373,2024,1
9,00-0033757,Robert Tonyan,6.1152777671813965,0.0,0.0,0.0,0.0,0.0,1.25,1.8333333333333333,14.75,0.0833333333333333,0.0,6.833333333333333,0.75,0.0636828814943631,3.224999964237213,1.8333333333333333,4.630172227018808,2024,1
10,00-0033858,Jonnu Smith,7.759722143411636,0.0833333333333333,0.0,0.0,0.0,0.0,3.1666666666666665,4.416666666666667,39.083333333333336,0.1666666666666666,0.0833333333333333,25.5,1.75,0.1425166974465052,7.908333331346512,4.5,8.33404262828664,2024,1
11,00-0033881,Evan Engram,5.77361128727595,0.0,0.0,0.0,0.0,0.0,6.583333333333333,8.416666666666666,54.333333333333336,0.25,0.1666666666666666,27.5,2.583333333333333,0.2389936335384845,13.183333357175192,8.416666666666666,13.930914476380616,2024,1
12,00-0033885,David Njoku,5.879166637857755,0.0,0.0,0.0,0.0,0.0,5.416666666666667,8.75,62.0,0.5,0.0833333333333333,41.66666666666666,2.5,0.2394095386068026,14.4500000278155,8.75,14.72430512994209,2024,1
13,00-0033895,Gerald Everett,9.693055510520937,0.1666666666666666,0.6666666666666666,0.0,0.0,0.0,3.75,5.25,28.25,0.25,0.0,19.0,1.75,0.1484258289759358,8.14166667064031,5.416666666666667,8.89003752657334,2024,1
14,00-0034159,Will Dissly,4.40833334128062,0.0,0.0,0.0,0.0,0.0,1.25,1.6666666666666667,12.083333333333334,0.0,0.0,9.333333333333334,0.5833333333333334,0.0497106751427054,2.4583333233992257,1.6666666666666667,4.639674814840717,2024,1
15,00-0034270,Tyler Conklin,7.154166640092929,0.0833333333333333,0.0,0.0,0.0,0.0,3.8333333333333335,5.5,39.083333333333336,0.0,0.0,14.916666666666666,1.8333333333333333,0.1529421685263514,7.741666694482167,5.583333333333333,9.154069339488284,2024,1
16,00-0034351,Dallas Goedert,7.059722234805425,0.0833333333333333,0.0833333333333333,0.0,0.0,0.0,4.833333333333333,6.583333333333333,49.0,0.25,0.0,26.58333333333333,2.75,0.2164542395621538,11.241666793823242,6.666666666666667,10.928272806023788,2024,1
17,00-0034364,Jordan Akins,5.879166637857755,0.0,0.0,0.0,0.0,0.0,1.0,1.4166666666666667,9.0,0.0,0.0,3.8333333333333335,0.3333333333333333,0.0418338550565143,1.8999999860922496,1.4166666666666667,4.639126699254826,2024,1
18,00-0034383,Dalton Schultz,4.647222220897675,0.0,0.0,0.0,0.0,0.0,4.0,5.833333333333333,46.25,0.4166666666666667,0.0833333333333333,17.583333333333332,2.583333333333333,0.1758449912692109,10.9583334227403,5.833333333333333,9.994173744126194,2024,1
19,00-0034753,Mark Andrews,8.712500015894571,0.0833333333333333,0.0,0.0,0.0,0.0,4.75,6.25,57.41666666666666,0.5,0.0,22.0,2.9166666666666665,0.2416155120978752,13.491666595141092,6.333333333333333,10.96292677402661,2024,1
