,player_id,player_display_name,rolling_def,last_twelve_carries,last_twelve_rushing_yards,last_twelve_rushing_tds,last_twelve_rushing_fumbles_lost,last_twelve_rushing_first_downs,last_twelve_receptions,last_twelve_targets,last_twelve_receiving_yards,last_twelve_receiving_tds,last_twelve_receiving_fumbles_lost,last_twelve_receiving_yards_after_catch,last_twelve_receiving_first_downs,last_twelve_target_share,last_twelve_fantasy_points_ppr,last_twelve_usage,predicted,season,week
0,00-0030578,Cordarrelle Patterson,11.831944505373636,4.5,16.916666666666668,0.0833333333333333,0.0,1.0,1.25,1.6666666666666667,6.666666666666667,0.0833333333333333,0.0,5.833333333333333,0.3333333333333333,0.1005140885245055,4.608333329359691,6.166666666666667,5.763815299246648,2024,1
1,00-0031687,Raheem Mostert,7.295833230018616,14.0,64.33333333333333,1.0,0.0833333333333333,3.8333333333333335,1.25,1.8333333333333333,8.0,0.1666666666666666,0.0,10.0,0.4166666666666667,0.0644376516680825,15.316666722297668,15.833333333333334,11.933744726786113,2024,1
2,00-0032104,Ameer Abdullah,10.895833373069763,1.25,7.416666666666667,0.0,0.0,0.5,1.25,1.3333333333333333,8.583333333333334,0.0,0.0,6.166666666666667,0.3333333333333333,0.0458375276066362,2.850000023841858,2.583333333333333,4.47983180426035,2024,1
3,00-0032764,Derrick Henry,6.730555613835652,15.666666666666666,60.75,0.75,0.0,3.4166666666666665,1.8333333333333333,2.333333333333333,11.0,0.0,0.0,14.333333333333334,0.5,0.0847966253447036,13.881666700045267,18.0,12.496428159616693,2024,1
4,00-0033045,Ezekiel Elliott,8.730555474758148,11.416666666666666,37.5,0.25,0.0,1.8333333333333333,3.1666666666666665,3.9166666666666665,21.58333333333333,0.1666666666666666,0.0,25.166666666666668,0.9166666666666666,0.1447922479022633,11.575000007947288,15.333333333333334,11.52724983781379,2024,1
5,00-0033280,Christian McCaffrey,12.326388716697693,16.0,83.33333333333333,0.6666666666666666,0.1666666666666666,5.0,4.083333333333333,5.166666666666667,35.25,0.5,0.0,27.83333333333333,1.6666666666666667,0.1794962181399265,22.608333269755047,21.166666666666668,17.105506752909903,2024,1
6,00-0033293,Aaron Jones,8.81805568933487,11.666666666666666,56.75,0.1666666666666666,0.0833333333333333,2.583333333333333,2.4166666666666665,3.583333333333333,17.833333333333332,0.0833333333333333,0.0,21.83333333333333,1.0,0.1139115913150211,11.208333353201548,15.25,12.397887702693538,2024,1
7,00-0033526,Samaje Perine,8.723611235618591,2.6666666666666665,13.75,0.0833333333333333,0.0833333333333333,0.75,3.0,3.25,28.08333333333333,0.0,0.0833333333333333,28.33333333333333,1.5833333333333333,0.119029341576,7.349999994039535,5.916666666666667,7.831197921101152,2024,1
8,00-0033553,James Conner,8.018055419127146,15.083333333333334,74.16666666666667,0.5,0.0,4.0,1.9166666666666667,2.4166666666666665,9.25,0.1666666666666666,0.0,12.916666666666666,0.75,0.0895549740642309,14.258333365122477,17.5,13.56043107039921,2024,1
9,00-0033699,Austin Ekeler,8.602777779102325,12.75,41.66666666666666,0.3333333333333333,0.1666666666666666,2.4166666666666665,3.333333333333333,5.083333333333333,29.25,0.0833333333333333,0.1666666666666666,35.75,1.5,0.1433914511774977,12.258333245913189,17.833333333333332,13.247869196493982,2024,1
10,00-0033897,Joe Mixon,7.722222248713176,15.333333333333334,56.333333333333336,0.5833333333333334,0.0,3.1666666666666665,3.5,4.083333333333333,25.25,0.1666666666666666,0.0,30.33333333333333,1.0,0.1177697336922089,16.325000047683716,19.416666666666668,14.677549435278308,2024,1
11,00-0033906,Alvin Kamara,7.141666611035665,14.083333333333334,53.583333333333336,0.4166666666666667,0.0,3.333333333333333,5.166666666666667,6.0,36.083333333333336,0.0833333333333333,0.0,36.75,1.75,0.1701615114385883,17.63333324591319,20.08333333333333,15.49761003373525,2024,1
12,00-0033925,D'Onta Foreman,7.943055689334869,12.75,52.833333333333336,0.4166666666666667,0.0,2.9166666666666665,0.9166666666666666,1.3333333333333333,6.416666666666667,0.0833333333333333,0.0,5.416666666666667,0.5,0.0856613094607989,9.841666718324026,14.083333333333334,9.76474704152371,2024,1
13,00-0033948,Jamaal Williams,7.141666611035665,7.666666666666667,23.33333333333333,0.0,0.0,1.25,1.25,1.4166666666666667,4.5,0.0,0.0,6.583333333333333,0.0833333333333333,0.0526191528886556,4.033333371082942,9.083333333333334,6.4872982552561,2024,1
14,00-0034115,Jeff Wilson,9.895833194255829,5.083333333333333,21.166666666666668,0.0833333333333333,0.0,1.1666666666666667,1.5,2.333333333333333,9.916666666666666,0.0,0.0,7.25,0.3333333333333333,0.083802836202085,5.108333383997281,7.416666666666667,6.5936397425630515,2024,1
15,00-0034184,Gus Edwards,7.345833381017049,12.0,47.41666666666666,1.0,0.0833333333333333,3.083333333333333,0.8333333333333334,0.8333333333333334,14.916666666666666,0.0,0.0,11.75,0.4166666666666667,0.0479722840245813,12.900000015894571,12.833333333333334,9.620130015691265,2024,1
16,00-0034367,Nyheim Hines,10.747222185134888,1.4166666666666667,1.8333333333333333,0.0833333333333333,0.0,0.0833333333333333,1.25,1.6666666666666667,10.916666666666666,0.0833333333333333,0.0,8.0,0.5,0.0563943352211605,3.5249999662240348,3.083333333333333,4.46471599173038,2024,1
17,00-0034414,Boston Scott,8.98333332935969,2.583333333333333,11.333333333333334,0.0833333333333333,0.0,0.6666666666666666,0.5,0.6666666666666666,5.083333333333333,0.0,0.0,4.166666666666667,0.1666666666666666,0.0293135303072631,2.6416666408379874,3.25,4.408272398164041,2024,1
