,player_id,player_display_name,rolling_def,last_twelve_carries,last_twelve_rushing_yards,last_twelve_rushing_tds,last_twelve_rushing_fumbles_lost,last_twelve_rushing_first_downs,last_twelve_receptions,last_twelve_targets,last_twelve_receiving_yards,last_twelve_receiving_tds,last_twelve_receiving_fumbles_lost,last_twelve_receiving_yards_after_catch,last_twelve_receiving_first_downs,last_twelve_target_share,last_twelve_fantasy_points_ppr,last_twelve_usage,predicted,season,week
0,00-0030035,Adam Thielen,8.898610949516296,0.0,0.0,0.0,0.0,0.0,6.166666666666667,8.416666666666666,59.583333333333336,0.1666666666666666,0.0,19.416666666666668,3.083333333333333,0.2749556687970956,13.124999980131784,8.416666666666666,13.397923910031754,2024,1
1,00-0030279,Keenan Allen,6.887388865152995,0.0,0.0,0.0,0.0,0.0,8.5,11.75,97.25,0.5833333333333334,0.0833333333333333,30.83333333333333,4.5,0.3158887736499309,22.054999987284344,11.75,18.67283919150425,2024,1
2,00-0030431,Robert Woods,8.979861179987589,0.0833333333333333,0.5833333333333334,0.0,0.0,0.0,2.833333333333333,5.416666666666667,30.75,0.0833333333333333,0.0,8.75,1.8333333333333333,0.1606380026787519,6.46666660408179,5.5,7.92500245142063,2024,1
3,00-0030564,DeAndre Hopkins,9.822638789812723,0.1666666666666666,0.75,0.0,0.0,0.0,4.166666666666667,8.0,66.25,0.5,0.0,14.333333333333334,2.833333333333333,0.2745659661789735,13.866666475931805,8.166666666666666,13.501196218403187,2024,1
4,00-0031235,Odell Beckham Jr.,7.439722279707591,0.0,0.0,0.0,0.0,0.0,2.5,4.75,41.583333333333336,0.25,0.0833333333333333,12.25,1.9166666666666667,0.1614904987315336,7.991666793823242,4.75,7.975397267900522,2024,1
5,00-0031236,Brandin Cooks,10.711666444937388,0.3333333333333333,2.6666666666666665,0.0,0.0,0.0833333333333333,3.333333333333333,4.833333333333333,46.0,0.5833333333333334,0.0,9.25,2.333333333333333,0.1356854333231846,11.866666634877523,5.166666666666667,10.06896179982081,2024,1
6,00-0031381,Davante Adams,8.725694398085276,0.0,0.0,0.0,0.0,0.0,5.416666666666667,9.75,58.41666666666666,0.3333333333333333,0.0,20.08333333333333,2.75,0.3118186059097449,13.25833335518837,9.75,13.558307559212405,2024,1
7,00-0031408,Mike Evans,7.573749820391337,0.0,0.0,0.0,0.0,0.0,4.666666666666667,8.083333333333334,74.66666666666667,0.8333333333333334,0.0,17.666666666666668,3.4166666666666665,0.246810053785642,17.13333334525426,8.083333333333334,14.111185534255279,2024,1
8,00-0031428,Allen Robinson,9.53944464524587,0.0,0.0,0.0,0.0,0.0,2.25,3.083333333333333,17.0,0.0,0.0,3.5,0.5833333333333334,0.1094540486422677,3.950000007947286,3.083333333333333,5.5904704348483145,2024,1
9,00-0031544,Amari Cooper,9.59208325544993,0.0,0.0,0.0,0.0,0.0,4.583333333333333,8.583333333333334,83.91666666666667,0.3333333333333333,0.0833333333333333,21.08333333333333,3.1666666666666665,0.2334258742630481,14.974999904632568,8.583333333333334,14.086873819508146,2024,1
10,00-0031549,Nelson Agholor,7.439722279707591,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,2.333333333333333,19.666666666666668,0.25,0.0,9.75,0.9166666666666666,0.0762157440185546,5.133333245913188,2.333333333333333,5.717724975656549,2024,1
